River,FAZ,SPECIES,PSF_CU_NAME,CU_NAME,Species_CU_INDEX,Sites,Records_Total,Max_Est,FirstRecord,LastRecord,Records_HQ,Records_MQ,Records_LQ,Records_UNK
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,5,112,15250,1976,2019,28,31,0,53
Alsek,Alsek,CO,ALSEK RIVER,ALSEK RIVER,CO-45,1,42,9921,1976,2019,19,0,0,23
Alsek,Alsek,SEL,KLUKSHU,KLUKSHU,SEL-30-02,1,40,34362,1976,2019,16,0,0,24
Alsek,Alsek,SEL,NESKATAHIN,NESKATAHIN,SEL-30-03,1,3,1700,1984,1989,0,0,0,3
Alsek,Alsek,SEL,BLANCHARD,NA,SEL-30-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alsek,Alsek,SER,ALSEK RIVER,ALSEK RIVER,SER-24,3,36,103507,1986,2018,32,0,0,4
Lynn,Lynn,CK,LYNN CANAL,NA,CK-66,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynn,Lynn,CM,LYNN CANAL,NA,CM-37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynn,Lynn,CO,LYNN CANAL,NA,CO-42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynn,Lynn,SER,CHILKAT RIVER,NA,SER-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Multiple,Multiple,PKE,TRANSBOUNDARY FJORDS,TRANSBOUNDARY FJORDS,PKE-13,1,7,9433,1984,1998,0,0,0,7
Multiple,Multiple,PKO,TRANSBOUNDARY FJORDS,TRANSBOUNDARY FJORDS,PKO-19,1,6,45111,1985,1997,0,0,0,6
Multiple,Multiple,SER,NORTHERN TRANSBOUNDARY FJORDS,NORTHERN TRANSBOUNDARY FJORDS,SER-22,13,262,198575,1979,2021,38,73,0,151
Stikine,Lower Stikine,CK,STIKINE-EARLY TIMING,STIKINE-EARLY TIMING,CK-60,4,90,16631,1975,2021,24,17,0,49
Stikine,Lower Stikine,CK,STIKINE-LATE TIMING,STIKINE-LATE TIMING,CK-61,3,45,66646,1977,2021,26,0,0,19
Stikine,Lower Stikine,CM,LOWER STIKINE,NA,CM-34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stikine,Lower Stikine,CO,LOWER STIKINE,LOWER STIKINE,CO-39,8,161,4488,1984,2021,0,145,0,16
Stikine,Lower Stikine,SEL,CHRISTINA,CHRISTINA,SEL-26-01,1,9,130,1984,1993,0,0,0,9
Stikine,Lower Stikine,SEL,TAHLTAN,TAHLTAN,SEL-26-02,1,61,67326,1959,2019,20,0,0,41
Stikine,Lower Stikine,SEL,CHUTINE,CHUTINE,SEL-26-03,1,33,526,1984,2021,0,17,0,16
Taku,Taku,CK,TAKU-EARLY TIMING,TAKU-EARLY TIMING,CK-63,3,126,5415,1975,2022,0,58,0,68
Taku,Taku,CK,TAKU-MID TIMING,TAKU-MID TIMING,CK-64,1,47,7917,1975,2022,0,23,0,24
Taku,Taku,CK,TAKU-LATE TIMING,TAKU-LATE TIMING,CK-65,4,133,117877,1976,2022,34,46,0,53
Taku,Taku,CM,TAKU,NA,CM-36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taku,Taku,CO,TAKU-LATE TIMING,TAKU-LATE TIMING,CO-41,7,79,223162,1958,2019,41,11,0,27
Taku,Taku,CO,TAKU-EARLY TIMING,NA,CO-991,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taku,Taku,CO,TAKU-MID TIMING,NA,CO-992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taku,Taku,SEL,KUTHAI,KUTHAI,SEL-28-01,1,25,10042,1980,2018,15,0,0,10
Taku,Taku,SEL,LITTLE TRAPPER,LITTLE TRAPPER,SEL-28-02,1,33,31227,1983,2018,33,0,0,0
Taku,Taku,SEL,TATSAMENIE,TATSAMENIE,SEL-28-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taku,Taku,SEL,KING SALMON LAKE,KING SALMON,SEL-28-05,1,19,17733,2003,2022,16,2,1,0
Unuk,Unuk,CK,UNUK RIVER,NA,CK-59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unuk,Unuk,CM,UNUK RIVER,NA,CM-33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unuk,Unuk,CO,UNUK RIVER,NA,CO-38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unuk,Unuk,SEL,BORDER,NA,SEL-25-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiting,Whiting,CK,WHITING RIVER,NA,CK-62,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiting,Whiting,CM,WHITING RIVER,NA,CM-35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiting,Whiting,CO,WHITING RIVER,NA,CO-40,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiting,Whiting,SEL,WHITING,NA,SEL-999,NA,NA,NA,NA,NA,NA,NA,NA,NA
